epoch,acc,loss,lr,val_acc,val_loss
0,0.8105263127,0.5795547369,1E-025,0.7799999952,0.5846397579
1,0.8105263114,0.5795547387,1E-025,0.7799999952,0.5846397579
2,0.8105263114,0.5795547374,1E-025,0.7799999952,0.5846397579
3,0.8105263112,0.5795547361,1E-025,0.7799999952,0.5846397579
4,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
5,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
6,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
7,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
8,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
9,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
10,0.8105263133,0.5795547368,1E-025,0.7799999952,0.5846397579
